,English,SimplifiedChinese,TraditionalChinese,Russian,Indonesian,Vietnamese
"  Chinese:","  Chinese:","  中文:","  中文:","  Упрощенный китайский:","  Chinese:",Tiếng Trung
"  Russian:","  Russian:","  俄文:","  俄文:","  Русский:","  Russian:",Tiếng Nga
"""Day-Night"" Switching Mechanism","""Day-Night"" Switching Mechanism",日夜切换机关,日夜切換機關,Переключатель Белой и Вечной ночи,"""Day-Night"" Switching Mechanism","""Cơ chế chuyển đổi ""Ngày-Đêm"""
"""The Catch""","""The Catch""",「渔获」,「漁獲」,"""Улов""","""The Catch""",
"%s; Position: %s; Scene: %u
","%s; Position: %s; Scene: %u
","%s; Position: %s; Scene: %u
","%s; Position: %s; Scene: %u
","%s; Position: %s; Scene: %u
","%s; Posisi: %s; Scene: %u
",%s; Vị trí: %s; Cảnh: %u
+Obj,+Obj,+物体,+物體,+Obj,+Obj,
"1. Select the tp file(s).
2. Check if the teleport position has been teleported, if all positions have been teleported, you should reset the tp record.
3. Enable the auto teleport.","1. Select the tp file(s).
2. Check if the teleport position has been teleported, if all positions have been teleported, you should reset the tp record.
3. Enable the auto teleport.","1. 选择传送文件。
2.查看传送位置是否传送完毕，如果所有位置传送完毕，则需要重置传送记录。
3.启用自动传送。","1. 選擇傳送文件。
2.查看傳送位置是否傳送完畢，如果所有位置傳送完畢，則需要重置傳送記錄。
3.啟用自動傳送。","1. Select the tp file(s).
2. Check if the teleport position has been teleported, if all positions have been teleported, you should reset the tp record.
3. Enable the auto teleport.","1. Pilih file teleportasi.
2. Cek apakah posisi teleport sudah diteleport atau belum, jika semua posisi sudah diteleport, kamu perlu mereset riwayat teleport.
3. Aktifkan Teleportasi Otomatis.",|Đã Sửa
A Thousand Floating Dreams,A Thousand Floating Dreams,千夜浮梦,千夜浮夢,Сновидения тысячи ночей,A Thousand Floating Dreams,|Tỉ lệ{})
AD,AD,包满禁用,包滿禁用,AD,AD,"1. Chọn (các) tệp dịch chuyển.
2. Kiểm tra xem vị trí dịch chuyển đã được dịch chuyển chưa, nếu tất cả các vị trí đã được dịch chuyển, bạn nên đặt lại bản ghi dịch chuyển.
3. Kích hoạt dịch chuyển tức thời tự động."
AP,AP,拾取,拾取,AP,AP,Khúc Ca Bình Minh Ngàn Đêm
AT,AT,交互,交互,AT,AT,AD
Abiding Angelfish,Abiding Angelfish,长生仙,長生仙,Вечная рыба-ангел,Abiding Angelfish,AP
Ability Log [DEBUG],Ability Log [DEBUG],技能日志[调试],技能日誌[偵錯],Логи способностей [DEBUG],Log Ability [DEBUG],AT
Ability Reduce,Ability Reduce,冷却缩减,冷卻縮減,Ослабление способности,Ability Reduce,Trường Sinh Tiên
About,About,关于,關於,Об проекте,Informasi,Nhật ký gỡ lỗi [DEBUG]
